name,email,phone,address,nationality,bday,gender,contact,education
shula,bhesbbc@hotmail.com,4534543,ktm,nepali,2019-01-19,male,,
bandana,bandana.bhandari@apexcollege.edu.np,4534543,ktm,nepali,2019-01-18,male,Phone,Engineering
bandana,bandana.bhandari@apexcollege.edu.np,4534543,ktm,nepali,2019-01-18,male,Phone,Engineering
bandana,1233@12,as,ktm,nepali,2019-01-18,male,Phone,Engineering
bandana,bhandari.bandana@gmail.com,4534543,ktm,csdfdfgf,2019-01-19,male,Email,
asd,bhandari.bandana@gmail.com,4534543,ktm,nepali,2019-01-15,male,None,Engineering
bandana,123@12,9843566335,ktm,nepali,2019-01-18,male,None,Art
bandana,123@12,9843566335,ktm,nepali,2019-01-18,male,None,Art
bandana,123@12,9843566335,ktm,nepali,2019-01-18,male,None,Art
sama,bheshbbc@hotmail.com,9845678777,ktm,nepali,2019-01-26,female,Email,Art
